role,p,mor,ks,n,val,se
Liar,0.2,-6,5,100,5.189301115400348,0.09537526162032486
Liar,0.2,-6,6,100,5.651284883708358,0.08190773651515601
Liar,0.2,-6,7,100,6.3683116692821695,0.06035410276877177
Liar,0.2,-6,8,100,7.271836416864707,0.03204920076149247
Liar,0.2,-6,9,100,8.275766425939514,0.0026980371562886846
Liar,0.2,-6,10,100,9.30265547482578,0.042651754314958115
Detector2,0.2,-6,0,100,0.9502095731984356,0.0047311340200482475
Detector2,0.2,-6,1,100,0.8359706652496289,0.013712371209172177
Detector2,0.2,-6,2,100,0.7556013399804087,0.018466795500021956
Detector2,0.2,-6,3,100,0.7632881439993501,0.01806793532293775
Detector2,0.2,-6,4,100,0.8122058132781798,0.015252753015531037
Detector2,0.2,-6,5,100,0.8626935165701198,0.01184534130380002
Detector2,0.2,-6,6,100,0.884500130343306,0.01021596497659807
Detector2,0.2,-6,7,100,0.8772152931233739,0.010770862263384712
Detector2,0.2,-6,8,100,0.8606353430405912,0.011994214934999511
Detector2,0.2,-6,9,100,0.8454414623973014,0.013067019605681376
Detector2,0.2,-6,10,100,0.8336931652838983,0.013864887144281296
Detector,0.2,-5,0,100,0.44566547196784756,0.024704775906352325
Detector,0.2,-5,1,100,0.4970955709445501,0.024999156429186185
Detector,0.2,-5,2,100,0.5419021272980643,0.02482442117278968
Detector,0.2,-5,3,100,0.6233195021668626,0.023479230038531716
Detector,0.2,-5,4,100,0.7205687993506907,0.020134940475299474
Detector,0.2,-5,5,100,0.7998466103208889,0.016009201027907302
Detector,0.2,-5,6,100,0.845376821129539,0.01307148514264544
Detector,0.2,-5,7,100,0.8685601927510368,0.01141633843193186
Detector,0.2,-5,8,100,0.8826307453888428,0.010359371268317857
Detector,0.2,-5,9,100,0.8926498816864111,0.009582607041164735
Detector,0.2,-5,10,100,0.9000790882505567,0.008993672314460325
Liar,0.2,-5,0,100,5.357145692273245,0.0999900266321193
Liar,0.2,-5,1,100,5.290063915834984,0.10250789534220657
Liar,0.2,-5,2,100,5.1871377642899,0.10631407485965146
Liar,0.2,-5,3,100,5.061729448480986,0.11091696145038779
Liar,0.2,-5,4,100,5.037548217589956,0.11211675304543638
Liar,0.2,-5,5,100,5.260442904083905,0.10501371031200597
Liar,0.2,-5,6,100,5.769066026107073,0.08815373802876998
Liar,0.2,-5,7,100,6.5132944906940216,0.06288799292640693
Liar,0.2,-5,8,100,7.414352196348617,0.031243990076739468
Liar,0.2,-5,9,100,8.391202733266189,0.005624766306332629
Liar,0.2,-5,10,100,9.3792695207837,0.04704732364449578
Detector2,0.2,-5,0,100,0.9353117630979291,0.006050366890857248
Detector2,0.2,-5,1,100,0.7973042444826466,0.01616101862126027
Detector2,0.2,-5,2,100,0.7100305869415358,0.020588715254899397
Detector2,0.2,-5,3,100,0.7229906507298953,0.020027516968705784
Detector2,0.2,-5,4,100,0.7807595859201197,0.01711740549139629
Detector2,0.2,-5,5,100,0.8403360592556115,0.01341713667703609
Detector2,0.2,-5,6,100,0.8677121964640385,0.011478774057159235
Detector2,0.2,-5,7,100,0.8624429842281652,0.011863508318378197
Detector2,0.2,-5,8,100,0.8468998452856328,0.012966049734080404
Detector2,0.2,-5,9,100,0.8326096697453105,0.013937080759191551
Detector2,0.2,-5,10,100,0.8216022832570226,0.014657197140386982
Detector,0.2,-4,0,100,0.4404162253815355,0.0246449773802216
Detector,0.2,-4,1,100,0.4801745789096582,0.024960695267859063
Detector,0.2,-4,2,100,0.5192368144724111,0.024962994496895406
Detector,0.2,-4,3,100,0.6022552238349236,0.023954386919846967
Detector,0.2,-4,4,100,0.7052934458837439,0.020785460107717833
Detector,0.2,-4,5,100,0.7912130936328382,0.016519493409679183
Detector,0.2,-4,6,100,0.8405962033173496,0.013399422628580663
Detector,0.2,-4,7,100,0.865331140411117,0.01165331578459127
Detector,0.2,-4,8,100,0.8802533683917203,0.010540737582675066
Detector,0.2,-4,9,100,0.8908915364967429,0.00972038066952155
Detector,0.2,-4,10,100,0.8987819351455189,0.00909729682015952
Liar,0.2,-4,0,100,5.333293624933385,0.10619223424914137
Liar,0.2,-4,1,100,5.2590992330489055,0.10905021099198871
Liar,0.2,-4,2,100,5.154013889352478,0.11307516330099235
Liar,0.2,-4,3,100,5.031147397644112,0.11774788656909962
Liar,0.2,-4,4,100,5.028513004461204,0.11813368375902848
Liar,0.2,-4,5,100,5.296558034235482,0.10892444313573624
Liar,0.2,-4,6,100,5.8525303373331745,0.08937268595183938
Liar,0.2,-4,7,100,6.623805412257463,0.061789462959753585
Liar,0.2,-4,8,100,7.526469468741846,0.028722858450523525
Liar,0.2,-4,9,100,8.487563256978955,0.008214715742532871
Liar,0.2,-4,10,100,9.456084627039985,0.04784874340351826
Detector2,0.2,-4,0,100,0.9179240335577452,0.007533950217482465
Detector2,0.2,-4,1,100,0.7583182112104743,0.01832717017570208
Detector2,0.2,-4,2,100,0.669736050864493,0.022118967303692626
Detector2,0.2,-4,3,100,0.6905723891679975,0.021368216448680134
Detector2,0.2,-4,4,100,0.7566754094355367,0.01841177341910996
Detector2,0.2,-4,5,100,0.823653143258105,0.014524864285914854
Detector2,0.2,-4,6,100,0.8559532230293837,0.012329730301499382
Detector2,0.2,-4,7,100,0.8531630281946436,0.012527587551638936
Detector2,0.2,-4,8,100,0.839313756850362,0.01348661744120934
Detector2,0.2,-4,9,100,0.8263802117794196,0.014347595735882124
Detector2,0.2,-4,10,100,0.8163760038180236,0.014990622420813796
Detector,0.2,-3,0,100,0.427615900896613,0.024476054219699107
Detector,0.2,-3,1,100,0.45792556365487086,0.024822974180623965
Detector,0.2,-3,2,100,0.49457633627543063,0.02499705838718028
Detector,0.2,-3,3,100,0.5787724917622069,0.024379489454157306
Detector,0.2,-3,4,100,0.6837678929174851,0.021622936153266777
Detector,0.2,-3,5,100,0.7717858596098267,0.017613244651614755
Detector,0.2,-3,6,100,0.8223564238658635,0.014608633599241175
Detector,0.2,-3,7,100,0.8474997323009225,0.012924393605078724
Detector,0.2,-3,8,100,0.8625721971520752,0.01185414018523167
Detector,0.2,-3,9,100,0.8732329728068613,0.011069714800975274
Detector,0.2,-3,10,100,0.881073741720778,0.010478280337092577
Liar,0.2,-3,0,100,5.128152859710897,0.08841955132195953
Liar,0.2,-3,1,100,5.04227652383717,0.09093128186361718
Liar,0.2,-3,2,100,4.929040747166281,0.09425819753448562
Liar,0.2,-3,3,100,4.804274694174463,0.09787132034504457
Liar,0.2,-3,4,100,4.828107890245606,0.0972940489776269
